CERCID,RESEARCHER,SITE,TREATMENT,ORDER,INGFIRST,COREL.L,INGROUP,SUM1,COREL.S,SELF,SUM2,HONEST,SEX,AGE,AGE.C,FAMILY,CHILDREN,FORMALED,HOUSEHOLD,NATLANG,MAT1,MAT1C,MAT2,MAT2C,MAT3,MAT3C,MAT4,MAT4C,MMAT,MMATc,BGLG1ST,HIGHGOD.BG,OMNI.BG,DIEPUN,DKDIEPUN,MBG,BGR1,BGR2,BGTHINK,BGPERF,BGPERFHO,BGFREQW,BGPUNISH,BGSTEAL,BGSTLIMP,BGLYING,BGLIEIMP,BGMURDER,BGMURDIMP,BGFEEL,BGSEE,BGREWARD,BGDIE,BGSTRANGER,BGOTHERRIT,BGPERFC,HIGHGOD.LG,OMNI.LG,LGDIEPUN,MLG,LGR1,LGR2,LGTHINK,LGPERF,LGPERFHO,LGFREQW,LGPUNISH,LGSTEAL,LGSTEALIMP,LGLYING,LGLIEIMP,LGMURDER,LGMURDIMP,LGFEEL,LGSEE,LGREWARD,LGDIE,LGSTRANGER,LGOTHERRIT,LGPERFC,POLEVAL,CORELEMO,INGREMO,OUTGREMO,CORELSIM,BGTHINKH,BGFREQWH,BGSTEALH,BGLYINGH,BGMURDERH,BGREWARDH,LGTHINKH,LGFREQWH,LGSTEALH,LGLYINGH,LGMURDERH,LGREWARDH,POLEVALH,CORELEMOH,INGREMOH,OUTGREMOH
CERC1,Atkinson,Coastal Tanna,0,12,1,15,15,30,12,18,30,0,0,40,2.6,2,4,0,8,3,0,1,0,1,0,1,0,1,0,1,NA,0.75,1,0.5,0,0.67,0.33,NA,4,1,4,3,0,1,0,1,1,1,1,1,1,1,1,1,NA,1,0.5,1,0,1,0.33,NA,0,0,NA,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,-2,3,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC10,Atkinson,Coastal Tanna,0,12,1,11,19,30,13,17,30,0,0,35,-2.4,1,2,10,7,2,1,1,1,-1,1,0,1,-2,1,-0.5,NA,1,1,1,0,1.33,1,NA,4,1,3,1,1,3,4,3,0,3,0,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC11,Atkinson,Coastal Tanna,0,21,0,14,16,30,14,16,30,0,0,18,-19.4,1,0,8,5,4,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1.67,1,NA,4,1,4,4,1,1,1,3,2,3,2,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC12,Atkinson,Coastal Tanna,0,12,1,10,20,30,17,13,30,0,0,19,-18.4,4,2,7,7,3,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,2,1,NA,3,1,3,2,1,3,2,3,2,3,2,1,1,3,1,1,1,1,0.75,1,0.5,2,1,NA,0,0,NA,0,1,3,2,3,2,3,2,1,1,3,0,1,1,1,-1,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC13,Atkinson,Coastal Tanna,0,12,1,15,15,30,14,16,30,0,0,21,-16.4,4,1,10,5,4,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,2.67,1,NA,4,1,3,4,1,1,3,3,2,1,3,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC14,Atkinson,Coastal Tanna,0,12,1,17,13,30,15,15,30,0,0,26,-11.4,2,2,6,4,1,1,-2,1,-2,1,-2,1,-2,1,-2,0,0.5,1,0,0,1,0.33,NA,3,1,3,2,0,1,0,1,0,1,3,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC15,Atkinson,Coastal Tanna,0,21,0,10,20,30,18,12,30,0,0,21,-16.4,2,0,2,6,4,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1.33,0.33,NA,3,1,3,4,1,1,0,1,1,2,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC16,Atkinson,Coastal Tanna,0,12,1,11,19,30,13,17,30,0,0,31,-6.4,2,4,10,3,4,0,1,0,1,0,1,0,1,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC17,Atkinson,Coastal Tanna,0,12,1,16,14,30,16,14,30,0,0,62,24.6,5,5,8,7,4,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1.67,1,NA,4,1,4,3,1,3,2,2,1,2,2,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC18,Atkinson,Coastal Tanna,0,12,1,NA,NA,NA,11,19,30,0,0,19,-18.4,1,0,7,9,3,1,-1,1,-2,1,-2,1,-1,1,-1.5,1,0.75,1,0.5,0,0,1,NA,3,1,3,4,1,1,0,1,0,3,0,1,1,3,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC19,Atkinson,Coastal Tanna,0,21,0,20,10,30,17,13,30,0,0,20,-17.4,1,0,6,8,4,0,2,0,2,0,2,0,2,0,2,NA,1,1,1,0,0.33,0.33,NA,4,1,3,2,1,3,0,2,1,2,0,1,1,1,1,1,1,1,0.25,0,0.5,0.67,0.33,NA,1,0,NA,1,1,2,0,1,1,1,1,0,0,1,0,0,0,0,1,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC2,Atkinson,Coastal Tanna,0,12,1,16,14,30,18,12,30,0,0,26,-11.4,2,2,13,9,4,0,1,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
