Culture,CERCID,Order,GOOD_ORIG_NC,GOOD_ORIG_TL,MATCH_GOOD,GOOD_SPEC_NC,GOOD_SPEC_TL,GOOD_SPEC_BP,BAD_ORIG_NC,BAD_ORIG_TL,MATCH_BAD,BAD_SPEC_NC,BAD_SPEC_TL,BAD_SPEC_BP
Yasawa Fiji,BGP075,1,good hearted,tamata vinaka,Corrected,Heart - Good,?,"Good (Conscience, Behavior, Nature, Heart)",greedy,greedy,Match,Greed,Greed,Greedy
Yasawa Fiji,BGP075,2,good mindset,savasava na rai,Corrected,Mindset - Good ,?,"Good (Conscience, Behavior, Nature, Heart)",bad person,bad person,Match,People - Bad,Bad person,"Bad (Conscience, Behavior, Nature, Heart)"
Pesqueiro,BGP017,1,NA,Charitable,Corrected,NA,Charitable,Generous/Shares,NA,Has poor faith,Corrected,NA,Unfaithful,No Religious Faith
Pesqueiro,BGP017,2,NA,Understanding,Corrected,NA,Understanding,Understanding,NA,bad character,Corrected,NA,Bad character,"Bad (Conscience, Behavior, Nature, Heart)"
Pesqueiro,BGP017,3,NA,Humble,Corrected,NA,Humble,Humble,NA,shameless,Corrected,NA,Shameless,Shameless
Pesqueiro,BGP017,4,NA,Hospitable,Corrected,NA,Hospitality,Hospitable,NA,arrogant,Corrected,NA,Arrogance,Arrogant
Pesqueiro,BGP017,5,NA,attentive,Corrected,NA,Attentive,Attentive,NA,proud,Corrected,NA,Arrogance,Arrogant
Yasawa Fiji,BGP079,1,good attitude,show mercy,Corrected,Attitude - Good ,Merciful,Attitude,swearing,disobey,Corrected,Swearing,Disobedience,Disobedient
Yasawa Fiji,BGP079,2,talent in public speakers,obedience,Corrected,Speech - Public,Obedience,Speaking,pride,did not listen well,Corrected,Pride,Not listening,Doesn't Listen
Yasawa Fiji,BGP079,3,good attitude,listen always,Corrected,Attitude - Good ,Listening,Attitude,your attitude problem,laziness,Corrected,Attitude - Bad,Laziness,Lazy
Yasawa Fiji,BGP079,4,way we walk,good person,Corrected,Walking,Good person,"Good (Conscience, Behavior, Nature, Heart)",bad attitude,defeated easily,Corrected,Attitude - Bad,Defeated easily,Gives Up
Yasawa Fiji,BGP079,5,socialise,good church goer,Corrected,Sociable,Going to church,Sociable,making noise,doesn't go to church,Corrected,Disturbances - Noise,Not going to church,No Church
Yasawa Fiji,BGP082,1,church goer,good attitude,Corrected,Church,Good attitude,Church,doesn't go to church,drunkard,Corrected,No Church,Substance abuse,No Church
Yasawa Fiji,BGP101,1,NA,always listen ,Corrected,NA,Always listen,Always Listens,NA,disobedience,Corrected,NA,Disobedience,Disobedient
Yasawa Fiji,BGP101,2,NA,obedience,Corrected,NA,Obedience,Obedient,NA,disobey,Corrected,NA,Disobedience,Disobedient
Yasawa Fiji,BGP101,3,NA,sharing,Corrected,NA,Sharing,Generous/Shares,NA,follow his own heart,Corrected,NA,Following his own heart,Follows His Own Heart
Yasawa Fiji,BGP101,4,NA,look after,Corrected,NA,Looking after eachother,Considerate,NA,did not attend church,Corrected,NA,Not going to church,No Church
Yasawa Fiji,BGP101,5,NA,hardworking,Corrected,NA,Hardworking,Hard-working,NA,disobedience,Corrected,NA,Disobedience,Disobedient
Pesqueiro,BGP900,1,caring,trust; good thoughts;  sincere towards near ones; good way of speaking; way of acting,Corrected,Caring,Trust; good thoughts; sincere towards near ones; good way of speaking; way of acting,Caring,argumentative,arrogant; selfish;  love fighting; demanding; no good way of living,Corrected,Arguments,Arrogant; selfish; love fighting; demanding; no good way of living,Argumentative
Pesqueiro,BGP900,2,companion,good manners; good mentality; does not gossip; keep secrets; helpful,Corrected,Companion,Good manners; good mentality; does not gossip; keep secrets; helpful,Companion,irresponsible,jealousy; criticise; put obstacle when going forward; back biting; refuse to help,Corrected,Irresponsible,Jealousy; criticize; put obstacle when going forward; back biting; refuse to help,Irresponsible
Pesqueiro,CERC359,1,helps,polite,Corrected,Helpful,Polite,Helpful,unhelpful,unloved/unloveable,Corrected,Not Helpful,Unloved/unloveable,Unhelpful
Pesqueiro,CERC404,1,good character,respects others,Corrected,Character - Good ,Respectful,Character,no respect,no self-respect,Corrected,Disrespectful,No self-respect,Disrespectful
Tyva Republic,CERC457,1,NA,honest,Corrected,NA,Honesty,Honest,NA,angry,Corrected,NA,Anger,Angry
Tyva Republic,CERC457,2,NA,kind,Corrected,NA,Kindness,Kind,NA,drunkard,Corrected,NA,Substance abuse,Drugs/Alcohol/Substance
Tyva Republic,CERC457,3,NA,considerate,Corrected,NA,Considerate,Considerate,NA,drug-addicted,Corrected,NA,Substance abuse,Drugs/Alcohol/Substance
Tyva Republic,CERC457,4,NA,doesn't drink,Corrected,NA,No substance abuse,Drugs/Alcohol/Substance,NA,prisoner,Corrected,NA,Delinquent,Prisoner
