CERCID,SITE,SELFGAME,DISTANT,PROXIM,DIEPUN,OMNI.BG,AGE,SEX,CHILDREN,FORMALED,HONSAL,DISSAL,HONBIN,DISBIN,HONDIS,TREATMENT,INGFIRST,gamecheck,gmcheck.imp,HADZA
CERC1,Coastal Tanna,0,15,15,0.5,1,40,0,4,0,NA,NA,0,0,0,0,1,0,0,0
CERC10,Coastal Tanna,0,11,19,1,1,35,0,2,10,NA,NA,0,0,0,0,1,0,0,0
CERC100,Hadza,0,14,16,NA,NA,47,1,5,0,NA,NA,0,0,0,0,0,NA,1,1
CERC101,Hadza,0,15,15,1,1,47,0,5,0,NA,NA,0,0,0,0,1,NA,0,1
CERC102,Hadza,0,13,17,NA,NA,35,1,5,0,NA,NA,0,0,0,0,0,NA,0,1
CERC103,Hadza,0,12,18,1,1,28,0,4,0,NA,NA,0,0,0,0,0,NA,0,1
CERC104,Hadza,0,7,23,NA,NA,21,1,0,9,0.75,1,1,1,2,0,1,NA,0,1
CERC105,Hadza,0,14,16,0.5,1,40,1,4,6,NA,NA,0,0,0,0,0,NA,0,1
CERC106,Hadza,0,17,13,1,1,60,1,8,0,0.2,1,1,1,2,0,0,NA,0,1
CERC107,Hadza,0,12,18,1,1,23,1,0,7,NA,NA,0,0,0,0,0,NA,0,1
CERC108,Hadza,0,13,17,NA,0,45,1,6,0,NA,NA,0,0,0,0,1,NA,0,1
CERC109,Hadza,0,11,19,0,1,38,0,5,0,NA,NA,0,0,0,0,0,NA,0,1
CERC11,Coastal Tanna,0,14,16,1,1,18,0,0,8,NA,NA,0,0,0,0,0,0,0,0
CERC110,Hadza,0,11,19,1,1,30,1,0,7,0.25,0.8,1,1,2,0,1,NA,1,1
CERC111,Hadza,0,11,19,0,1,19,0,1,5,NA,NA,0,0,0,0,0,NA,0,1
CERC112,Hadza,0,13,17,0,0,42,0,7,0,NA,NA,0,0,0,0,1,NA,0,1
CERC113,Inland Tanna,0,13,17,0.5,1,39,0,8,0,NA,NA,0,0,0,0,0,0,0,0
CERC114,Inland Tanna,0,15,15,1,1,34,0,6,0,NA,NA,0,0,0,0,1,0,0,0
CERC115,Inland Tanna,0,6,24,NA,NA,37,0,9,0,NA,NA,0,0,0,0,0,0,0,0
CERC116,Inland Tanna,0,19,11,1,1,52,0,8,0,NA,NA,0,0,0,0,1,0,0,0
CERC117,Inland Tanna,0,13,17,1,1,63,0,11,0,NA,NA,0,0,0,0,0,0,0,0
CERC118,Inland Tanna,0,11,19,1,1,35,0,6,0,NA,NA,0,0,0,0,0,0,0,0
CERC119,Inland Tanna,0,12,18,NA,NA,67,0,9,0,NA,NA,0,0,0,0,1,0,0,0
CERC12,Coastal Tanna,0,10,20,1,1,19,0,2,7,NA,NA,0,0,0,0,1,0,0,0
CERC120,Inland Tanna,0,16,14,0.5,1,32,0,3,0,NA,NA,0,0,0,0,0,0,0,0
CERC121,Inland Tanna,0,18,12,0.5,1,19,0,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC122,Inland Tanna,0,0,30,0,1,21,0,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC123,Inland Tanna,0,13,17,1,1,26,0,2,0,NA,NA,0,0,0,0,0,0,0,0
CERC124,Inland Tanna,0,17,13,0.5,1,30,0,5,4,NA,NA,0,0,0,0,1,0,0,0
CERC125,Inland Tanna,0,13,17,0.5,1,23,0,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC126,Inland Tanna,0,10,20,NA,NA,28,0,4,0,NA,NA,0,0,0,0,1,0,0,0
CERC127,Inland Tanna,0,16,14,1,1,40,0,5,0,NA,NA,0,0,0,0,1,0,0,0
CERC128,Inland Tanna,0,10,20,0.5,1,55,0,9,0,NA,NA,0,0,0,0,0,0,0,0
CERC129,Inland Tanna,0,18,12,1,1,70,0,7,0,NA,NA,0,0,0,0,0,0,0,0
CERC13,Coastal Tanna,0,15,15,1,1,21,0,1,10,NA,NA,0,0,0,0,1,0,0,0
CERC130,Inland Tanna,0,15,15,0.5,1,18,0,1,0,NA,NA,0,0,0,0,0,0,0,0
CERC131,Inland Tanna,0,15,15,0,NA,45,0,8,0,NA,NA,0,0,0,0,0,0,0,0
CERC132,Inland Tanna,0,14,16,NA,NA,20,0,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC133,Inland Tanna,0,17,13,0,0,50,0,5,0,NA,NA,0,0,0,0,0,0,0,0
CERC134,Inland Tanna,0,18,12,0.5,1,75,0,10,0,NA,NA,0,0,0,0,1,0,0,0
CERC135,Inland Tanna,0,14,16,NA,1,40,0,5,0,NA,NA,0,0,0,0,0,0,0,0
CERC136,Inland Tanna,0,19,11,NA,NA,40,0,5,0,NA,NA,0,0,0,0,1,0,0,0
CERC137,Inland Tanna,0,14,16,0,1,21,0,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC138,Inland Tanna,0,13,17,0.5,0,18,0,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC139,Inland Tanna,0,14,16,0.5,1,24,0,1,0,NA,NA,0,0,0,0,1,0,0,0
